,class,cap-shape,cap-surface,cap-color,bruises,odor,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
51,edible,5,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,1
52,edible,0,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,3
53,poisonous,5,3,4,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,4,5
54,poisonous,5,2,,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,4,5
55,edible,0,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,3
56,edible,2,0,3,no bruises,5,1,3,2,2,7,7,0,2,1,0,3,0,1
57,edible,0,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,1
58,edible,5,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,1
59,edible,5,3,4,bruises is there,0,0,4,2,3,7,7,0,2,1,4,2,5,4
60,edible,4,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,4,5
61,edible,0,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,3
62,edible,0,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,3
63,edible,0,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,3
64,edible,0,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,1
65,edible,2,2,4,no bruises,5,1,3,2,2,7,7,0,2,1,0,2,0,1
66,edible,5,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,1
67,edible,2,3,9,bruises is there,0,0,4,2,3,7,7,0,2,1,4,3,3,1
68,edible,5,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,1
69,edible,5,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,4,5
70,edible,2,0,9,bruises is there,3,1,1,2,2,7,7,0,2,1,4,3,4,0
71,edible,0,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,3
72,edible,2,0,9,bruises is there,3,1,1,2,2,7,7,0,2,1,4,3,4,0
73,edible,5,3,4,bruises is there,0,0,4,2,3,7,7,0,2,1,4,2,3,4
74,edible,0,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
75,edible,2,2,9,bruises is there,3,1,1,2,2,7,7,0,2,1,4,3,4,0
76,edible,5,2,8,bruises is there,3,1,1,2,2,7,7,0,2,1,4,6,4,0
77,edible,2,3,4,bruises is there,3,0,4,2,3,7,7,0,2,1,4,3,5,4
78,poisonous,5,3,4,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,4,5
79,edible,2,3,4,bruises is there,0,0,4,2,3,7,7,0,2,1,4,3,5,1
80,edible,5,2,4,no bruises,5,1,3,0,2,7,7,0,2,1,0,3,3,1
81,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,3,1
82,edible,2,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,5,5
83,edible,5,0,3,no bruises,5,1,3,2,2,7,7,0,2,1,0,3,3,1
84,edible,5,3,9,bruises is there,3,0,4,2,3,7,7,0,2,1,4,2,3,1
85,edible,5,2,4,no bruises,5,1,3,2,2,7,7,0,2,1,0,2,3,1
86,edible,0,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
87,edible,5,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,1
88,edible,2,3,4,bruises is there,3,0,4,2,3,7,7,0,2,1,4,2,5,1
89,edible,4,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,4,5
90,edible,5,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,5,5
91,edible,0,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,1
92,edible,5,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
93,edible,5,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,3
94,edible,5,2,4,no bruises,5,1,3,2,2,7,7,0,2,1,0,3,0,1
95,edible,5,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,1
96,edible,2,3,4,bruises is there,3,0,4,2,3,7,7,0,2,1,4,3,3,1
97,edible,,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,1
98,edible,0,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,1
99,edible,5,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
100,edible,5,0,4,no bruises,5,1,3,0,2,7,7,0,2,1,0,2,3,1
101,edible,0,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,1
102,edible,2,3,9,bruises is there,3,0,4,2,3,7,7,0,2,1,4,3,3,1
103,edible,5,3,9,bruises is there,0,0,4,2,3,7,7,0,2,1,4,2,5,4
104,edible,0,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,1
105,edible,5,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,3
106,edible,5,3,9,bruises is there,0,0,4,2,3,7,7,0,2,1,4,3,5,1
107,edible,0,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,3
108,edible,0,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,3
109,edible,5,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,3
110,edible,5,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,1
111,edible,4,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,2,5,5
112,edible,5,0,8,bruises is there,0,1,1,2,2,7,7,0,2,1,4,6,4,0
113,edible,5,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,3
114,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,4,5
115,edible,5,3,9,bruises is there,3,0,4,2,3,7,7,0,2,1,4,3,3,1
116,edible,4,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,5,5
117,edible,5,3,9,bruises is there,3,0,4,2,3,7,7,0,2,1,4,2,5,1
118,edible,5,2,9,bruises is there,3,1,1,2,2,7,7,0,2,1,4,6,4,0
119,edible,4,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,5,5
120,poisonous,5,2,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,4,1
121,edible,5,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,3
122,poisonous,2,3,4,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,4,1
123,edible,2,2,3,no bruises,5,1,3,2,2,7,7,0,2,1,0,3,0,1
124,edible,5,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,3
125,edible,5,2,8,no bruises,5,1,3,2,0,7,7,0,2,1,0,2,3,1
126,edible,0,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,1
127,edible,2,0,3,no bruises,5,1,3,2,2,7,7,0,2,1,0,3,0,1
128,edible,5,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,1
129,edible,0,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,3
130,edible,0,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,1
131,edible,0,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,3
132,edible,2,2,8,bruises is there,3,1,1,2,2,7,7,0,2,1,4,6,4,0
133,edible,5,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,3
134,edible,2,2,8,bruises is there,0,1,1,2,2,7,7,0,2,1,4,3,4,0
135,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,4,5
136,edible,2,0,8,bruises is there,3,1,1,2,2,7,7,0,2,1,4,3,4,0
137,edible,5,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,1
138,poisonous,5,2,4,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,4,1
139,edible,0,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,1
140,edible,5,3,4,bruises is there,0,0,4,2,3,7,7,0,2,1,4,2,5,4
141,edible,0,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,3
142,edible,4,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,4,5
143,edible,2,3,4,bruises is there,0,0,4,2,3,7,7,0,2,1,4,2,5,4
144,edible,5,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,1
145,edible,5,0,3,no bruises,5,1,3,0,0,7,7,0,2,1,0,2,3,1
146,edible,2,0,8,no bruises,5,1,3,2,0,7,7,0,2,1,0,3,0,1
147,edible,5,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,3
148,edible,0,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,1
149,edible,0,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,3
150,edible,5,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,1
151,edible,5,2,4,no bruises,5,1,3,0,2,7,7,0,2,1,0,3,0,1
152,edible,5,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,1
153,edible,4,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,2,4,5
154,edible,5,2,8,bruises is there,0,1,1,2,2,7,7,0,2,1,4,6,4,0
155,edible,5,3,4,bruises is there,3,0,4,2,3,7,7,0,2,1,4,2,3,1
156,edible,0,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,1
157,edible,5,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,1
158,edible,0,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,3
159,edible,0,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
160,edible,0,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,3
161,edible,0,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,1
162,edible,5,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,5,5
163,edible,2,3,4,bruises is there,3,0,4,2,3,7,7,0,2,1,4,3,5,1
164,edible,5,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,1
165,edible,2,3,9,bruises is there,3,0,4,2,3,7,7,0,2,1,4,3,5,4
166,edible,0,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,1
167,edible,0,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,3
168,edible,5,3,4,bruises is there,3,0,4,2,3,7,7,0,2,1,4,2,5,1
169,edible,0,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
170,edible,5,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,5,5
171,edible,0,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,1
172,edible,5,0,9,bruises is there,3,1,1,2,2,7,7,0,2,1,4,6,4,0
173,edible,0,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
174,edible,2,3,9,bruises is there,3,0,4,2,3,7,7,0,2,1,4,3,3,1
175,edible,0,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,3
176,edible,0,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,3
177,edible,0,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,1
178,edible,5,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,3
179,edible,0,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,1
180,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,4,5
181,edible,4,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,5,5
182,edible,2,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,2,4,5
183,edible,5,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,3
184,edible,2,3,4,bruises is there,0,0,4,2,3,7,7,0,2,1,4,2,3,4
185,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,3,1
186,edible,0,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,3
187,edible,2,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,2,4,5
188,edible,0,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,1
189,edible,5,3,4,bruises is there,0,0,4,2,3,7,7,0,2,1,4,3,5,4
190,edible,5,0,8,no bruises,5,1,3,2,0,7,7,0,2,1,0,2,3,1
191,edible,5,2,8,bruises is there,3,1,1,2,2,7,7,0,2,1,4,3,4,0
192,edible,0,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,3
193,edible,2,2,9,bruises is there,0,1,1,2,2,7,7,0,2,1,4,3,4,0
194,edible,5,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,3
195,edible,2,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,5,5
196,edible,0,2,,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
197,edible,5,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,3
198,edible,5,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,3
199,edible,2,2,8,bruises is there,0,1,1,2,2,7,7,0,2,1,4,3,4,0
200,edible,5,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,1
201,edible,0,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,1
202,edible,5,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,1
203,edible,5,0,8,no bruises,5,1,3,0,2,7,7,0,2,1,0,2,3,1
204,edible,2,3,4,bruises is there,3,0,4,2,3,7,7,0,2,1,4,2,5,4
205,poisonous,5,2,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,4,5
206,edible,0,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,1
207,edible,0,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,3
208,edible,0,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,1
209,edible,0,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,1
210,edible,5,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
211,edible,0,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,3
212,edible,5,0,9,bruises is there,0,1,1,2,2,7,7,0,2,1,4,3,4,0
213,edible,5,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,5,5
214,edible,2,3,9,bruises is there,0,0,4,2,3,7,7,0,2,1,4,3,3,1
215,edible,0,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,3
216,edible,5,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
217,edible,5,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
218,edible,5,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,1
219,edible,4,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,4,5
220,edible,5,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,3
221,poisonous,5,2,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,3,1
222,edible,5,3,9,bruises is there,0,0,4,2,3,7,7,0,2,1,4,3,3,1
223,edible,2,0,8,bruises is there,0,1,1,2,2,7,7,0,2,1,4,3,4,0
224,edible,5,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,3
225,edible,0,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,1
226,edible,5,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,1
227,edible,5,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,1
228,poisonous,5,3,4,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,4,5
229,edible,0,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,1
230,edible,5,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,2,5,5
231,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,3,5
232,edible,5,3,9,bruises is there,3,0,4,2,3,7,7,0,2,1,4,3,5,4
233,edible,2,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,2,4,5
234,edible,0,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,1
235,edible,5,0,8,bruises is there,3,1,1,2,2,7,7,0,2,1,4,3,4,0
236,edible,5,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,1
237,edible,0,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,1
238,edible,5,3,9,bruises is there,3,0,4,2,3,7,7,0,2,1,4,2,3,1
239,edible,2,3,9,bruises is there,0,0,4,2,3,7,7,0,2,1,4,2,3,4
240,edible,2,3,9,bruises is there,0,0,4,2,3,7,7,0,2,1,4,2,5,4
241,edible,5,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,1
242,edible,5,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,3
243,poisonous,5,2,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,4,5
244,edible,2,0,8,bruises is there,0,1,1,2,2,7,7,0,2,1,4,6,4,0
245,edible,5,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,1
246,edible,5,2,8,bruises is there,3,1,1,2,2,7,7,0,2,1,4,6,4,0
247,edible,5,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,3
248,edible,2,3,9,bruises is there,3,0,4,2,3,7,7,0,2,1,4,2,5,4
249,edible,5,2,4,no bruises,5,1,3,0,2,7,7,0,2,1,0,2,3,1
250,edible,2,3,9,bruises is there,0,0,4,2,3,7,7,0,2,1,4,3,5,1
251,poisonous,5,2,4,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,3,1
252,edible,4,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,4,5
253,edible,0,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,3
254,edible,0,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,1
255,edible,0,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,3
256,edible,2,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,4,5
257,edible,5,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,3
258,edible,0,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,1
259,edible,0,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,3
260,edible,2,3,4,bruises is there,3,0,4,2,3,7,7,0,2,1,4,3,3,1
261,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,4,1
262,edible,5,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,1
263,edible,5,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,3
264,edible,2,0,8,bruises is there,3,1,1,2,2,7,7,0,2,1,4,6,4,0
265,edible,2,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,2,4,5
266,edible,2,2,3,no bruises,5,1,3,2,2,7,7,0,2,1,0,2,0,1
267,edible,5,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,3
268,edible,0,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,3
269,poisonous,2,3,4,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,3,5
270,edible,5,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,3
271,poisonous,2,2,4,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,4,5
272,edible,5,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,1
273,edible,5,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,3
274,edible,2,3,9,bruises is there,0,0,4,2,3,7,7,0,2,1,4,3,3,4
275,edible,5,3,4,bruises is there,0,0,4,2,3,7,7,0,2,1,4,3,3,4
276,edible,2,3,4,bruises is there,0,0,4,2,3,7,7,0,2,1,4,3,5,1
277,edible,5,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,3
278,edible,2,0,4,no bruises,5,1,3,2,2,7,7,0,2,1,0,2,3,1
279,edible,5,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,3
280,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,3,1
281,edible,0,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,3
282,edible,4,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,4,5
283,edible,5,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,3
284,edible,0,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,2,3
285,edible,2,3,4,bruises is there,0,0,4,2,3,7,7,0,2,1,4,2,3,1
286,edible,0,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,3
287,edible,0,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
288,edible,5,3,4,bruises is there,3,0,4,2,3,7,7,0,2,1,4,3,5,4
289,edible,2,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,5,5
290,edible,5,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,2,5,5
291,edible,0,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,1
292,edible,5,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,3
293,edible,0,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,1
294,edible,5,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,3
295,edible,0,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,3
296,edible,5,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,3
297,edible,5,0,3,no bruises,5,1,3,0,0,7,7,0,2,1,0,2,3,1
298,edible,2,2,9,bruises is there,0,1,1,2,2,7,7,0,2,1,4,3,4,0
299,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,3,1
300,edible,5,0,8,no bruises,5,1,3,0,2,7,7,0,2,1,0,2,0,1
301,edible,0,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
302,edible,,2,9,bruises is there,3,1,1,2,2,7,7,0,2,1,4,3,4,0
303,edible,0,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,1
304,edible,5,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,1
